accident_index,accident_year,accident_reference,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_ons_district,local_authority_highway,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,lsoa_of_accident_location
2.01601E+12,2016,10000079,533260,182450,-0.080466,51.525196,1,3,2,1,01-11-2016,3,20:00,4,E09000012,E09000012,5,0,2,20,3,4,6,0,2,4,4,1,1,0,0,1,1,2,E01033706
2.01601E+12,2016,10000081,518670,175510,-0.293006,51.466073,1,3,2,2,01-11-2016,3,19:00,24,E09000027,E09000027,3,316,3,30,0,-1,-1,-1,0,0,4,1,1,0,0,1,1,2,E01003861
2.01601E+12,2016,10000084,515580,181750,-0.335428,51.522796,1,3,1,1,01-11-2016,3,13:45,27,E09000009,E09000009,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,2,E01001282
2.01601E+12,2016,10000085,513380,186380,-0.365635,51.564856,1,3,2,1,01-11-2016,3,13:20,29,E09000015,E09000015,6,0,6,30,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,2,E01002212
2.01601E+12,2016,10000086,516390,185600,-0.322486,51.557233,1,3,2,1,01-11-2016,3,17:02,28,E09000005,E09000005,3,4005,6,30,6,2,5,0,0,5,4,1,1,0,0,1,1,2,E01000609
2.01601E+12,2016,10000087,528740,176630,-0.147707,51.473939,1,3,2,1,01-11-2016,3,16:31,10,E09000032,E09000032,3,3216,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,2,E01004564
2.01601E+12,2016,10000099,531080,174830,-0.1147,51.457226,1,3,1,1,01-11-2016,3,20:50,9,E09000022,E09000022,3,204,6,30,9,4,6,0,0,1,4,1,1,0,0,1,1,2,E01003176
2.01601E+12,2016,10000103,536030,183140,-0.040295,51.530736,1,3,2,1,01-11-2016,3,23:43,5,E09000030,E09000030,4,135,6,20,6,2,3,1205,0,5,4,1,1,0,0,1,1,2,E01004230
2.01601E+12,2016,10000110,521950,183490,-0.243053,51.537096,1,3,2,1,01-11-2016,3,04:47,28,E09000005,E09000005,3,4000,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,2,E01000533
2.01601E+12,2016,10000114,517350,178040,-0.31116,51.489087,1,3,3,1,02-11-2016,4,08:20,25,E09000018,E09000018,3,4,3,40,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,1,E01002684
2.01601E+12,2016,10000115,531510,180490,-0.106408,51.507991,1,3,2,1,02-11-2016,4,07:00,8,E09000028,E09000028,6,0,2,20,3,4,6,0,0,0,1,1,1,0,0,1,1,2,E01003934
2.01601E+12,2016,10000116,531430,178020,-0.108479,51.485813,1,2,2,1,02-11-2016,4,06:25,9,E09000022,E09000022,3,3,3,30,3,2,3,3,0,5,1,1,1,0,0,1,1,2,E01003107
2.01601E+12,2016,10000119,513030,182760,-0.371844,51.53239,1,3,1,1,02-11-2016,4,08:30,27,E09000009,E09000009,5,0,6,30,1,4,4,455,0,8,1,1,1,0,0,1,1,2,E01032744
2.01601E+12,2016,10000120,524540,182340,-0.206135,51.526196,1,3,3,1,02-11-2016,4,08:40,1,E09000033,E09000033,3,404,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,2,E01004679
2.01601E+12,2016,10000121,515430,180170,-0.338106,51.508626,1,2,1,2,02-11-2016,4,09:50,27,E09000009,E09000009,3,4020,6,30,6,2,3,3002,0,4,1,1,1,0,0,1,1,2,E01001252
2.01601E+12,2016,10000124,525800,174930,-0.190621,51.459322,1,3,1,1,02-11-2016,4,08:40,10,E09000032,E09000032,3,217,2,30,6,2,3,3205,0,5,1,1,1,0,2,1,1,2,E01004509
2.01601E+12,2016,10000125,532540,176520,-0.093064,51.472074,1,3,2,1,02-11-2016,4,07:48,8,E09000028,E09000028,3,215,6,30,9,2,3,2217,0,5,5,1,1,0,0,1,1,2,E01003922
2.01601E+12,2016,10000126,538180,181760,-0.00986,51.517814,1,3,2,1,02-11-2016,4,08:26,5,E09000030,E09000030,3,12,3,40,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,2,E01004248
2.01601E+12,2016,10000130,525900,178340,-0.187968,51.489946,1,3,1,1,02-11-2016,4,09:15,12,E09000020,E09000020,3,3218,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,2,E01002898
2.01601E+12,2016,10000132,536210,182860,-0.03781,51.528177,1,2,1,1,02-11-2016,4,08:24,5,E09000030,E09000030,3,1205,3,20,3,4,6,0,0,1,1,1,1,0,0,1,1,2,E01004230
2.01601E+12,2016,10000135,520320,186690,-0.265451,51.566205,1,3,2,1,02-11-2016,4,10:26,28,E09000005,E09000005,3,4088,6,30,1,4,4,454,0,0,1,1,1,0,0,1,1,2,E01000479
2.01601E+12,2016,10000138,526820,187580,-0.171399,51.572781,1,3,4,1,02-11-2016,4,10:55,30,E09000003,E09000003,5,0,6,30,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,2,E01000206
2.01601E+12,2016,10000141,537780,181150,-0.015859,51.51243,1,3,2,1,02-11-2016,4,12:17,5,E09000030,E09000030,6,0,6,20,9,1,6,0,0,0,1,1,1,0,0,1,1,2,E01004244
2.01601E+12,2016,10000146,530240,181950,-0.124159,51.521406,1,3,1,1,02-11-2016,4,12:30,2,E09000007,E09000007,3,4200,6,20,3,2,3,4200,0,5,4,1,1,0,0,1,1,2,E01000855
2.01601E+12,2016,10000153,531290,177900,-0.110539,51.484767,1,3,2,1,02-11-2016,4,09:50,9,E09000022,E09000022,3,23,6,30,9,4,6,0,0,5,1,1,1,0,0,1,1,2,E01003101
2.01601E+12,2016,10000159,532730,183340,-0.087766,51.533318,1,3,2,1,02-11-2016,4,07:40,4,E09000012,E09000012,3,1200,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,2,E01001781
2.01601E+12,2016,10000161,526020,179680,-0.185762,51.501962,1,3,2,2,02-11-2016,4,12:25,12,E09000020,E09000020,3,315,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,2,E01002889
2.01601E+12,2016,10000162,534050,183110,-0.068834,51.53094,1,3,2,1,02-11-2016,4,10:10,5,E09000030,E09000030,6,0,6,30,3,4,3,1208,0,0,1,1,1,0,0,1,1,2,E01004318
2.01601E+12,2016,10000167,527190,182800,-0.167789,51.52974,1,3,2,1,02-11-2016,4,16:06,1,E09000033,E09000033,3,5205,1,30,1,4,3,41,0,0,1,1,1,0,0,1,1,2,E01004725
2.01601E+12,2016,10000171,527870,181950,-0.1583,51.521947,1,3,1,1,02-11-2016,4,16:56,1,E09000033,E09000033,3,501,7,30,3,4,6,0,0,0,4,1,1,0,0,1,1,2,E01004660
2.01601E+12,2016,10000172,534320,172190,-0.069094,51.432742,1,3,1,1,02-11-2016,4,14:01,8,E09000028,E09000028,5,0,6,20,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,2,E01003258
2.01601E+12,2016,10000174,524190,179030,-0.212343,51.496525,1,3,2,1,02-11-2016,4,17:10,11,E09000013,E09000013,6,0,6,30,0,-1,-1,-1,0,0,4,1,1,0,0,1,1,2,E01001866
2.01601E+12,2016,10000178,516790,174530,-0.320382,51.457656,1,3,2,1,02-11-2016,4,17:15,24,E09000027,E09000027,3,316,3,40,6,4,6,0,0,0,4,1,1,0,0,1,1,2,E01003872
2.01601E+12,2016,10000181,534740,181310,-0.05958,51.5146,1,2,2,1,02-11-2016,4,18:32,5,E09000030,E09000030,3,13,6,30,8,4,6,0,0,0,4,1,1,0,0,1,1,2,E01004304
2.01601E+12,2016,10000182,532540,176730,-0.092986,51.473961,1,2,2,1,01-11-2016,3,11:02,8,E09000028,E09000028,3,202,6,30,6,2,3,215,0,4,1,9,2,0,0,1,1,2,E01003921
2.01601E+12,2016,10000183,526000,178780,-0.186371,51.493878,1,3,2,1,02-11-2016,4,14:36,12,E09000020,E09000020,6,0,6,30,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,2,E01002839
2.01601E+12,2016,10000185,534370,187000,-0.062739,51.565821,1,3,2,1,02-11-2016,4,16:00,4,E09000012,E09000012,5,0,6,20,3,4,6,0,0,0,1,1,1,0,0,1,1,2,E01001728
2.01601E+12,2016,10000186,530990,175230,-0.115846,51.460842,1,3,2,1,02-11-2016,4,19:48,9,E09000022,E09000022,3,23,3,30,6,2,3,2217,2,5,4,1,1,0,0,1,1,2,E01003176
2.01601E+12,2016,10000191,526460,175570,-0.180897,51.464927,1,3,3,1,02-11-2016,4,20:45,10,E09000032,E09000032,3,3205,6,30,6,4,6,0,0,4,4,1,1,0,0,1,1,2,E01033101
2.01601E+12,2016,10000192,536800,172940,-0.03315,51.438889,1,3,2,1,02-11-2016,4,19:00,7,E09000023,E09000023,3,212,6,20,9,4,6,0,2,1,4,1,1,0,0,1,1,2,E01003308
2.01601E+12,2016,10000193,534870,176750,-0.059449,51.473591,1,3,2,1,02-11-2016,4,16:40,8,E09000028,E09000028,3,202,6,30,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,2,E01004005
2.01601E+12,2016,10000195,538160,181360,-0.010304,51.514224,1,3,2,1,02-11-2016,4,20:29,5,E09000030,E09000030,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,2,E01004246
2.01601E+12,2016,10000197,519400,186370,-0.278826,51.563525,1,3,1,1,02-11-2016,4,09:35,28,E09000005,E09000005,3,4089,6,30,9,4,6,0,0,0,4,1,1,0,0,1,1,2,E01000482
2.01601E+12,2016,10000204,525490,170550,-0.196632,51.420026,1,3,2,1,02-11-2016,4,21:45,22,E09000024,E09000024,5,0,6,30,6,4,5,0,0,0,4,1,1,0,0,1,1,2,E01003456
2.01601E+12,2016,10000206,530390,180270,-0.122619,51.506274,1,3,2,3,02-11-2016,4,23:30,1,E09000033,E09000033,3,3211,3,30,7,2,4,308,0,5,4,1,1,0,0,1,1,2,E01004736
2.01601E+12,2016,10000210,511670,183080,-0.391342,51.535536,1,3,1,1,02-11-2016,4,23:50,27,E09000009,E09000009,3,312,1,40,1,2,3,312,0,0,4,8,1,0,0,1,1,2,E01001328
2.01601E+12,2016,10000213,522260,180080,-0.239768,51.506382,1,3,2,2,02-11-2016,4,21:45,11,E09000013,E09000013,3,4020,6,30,3,4,6,0,0,4,4,1,1,0,0,1,1,2,E01001860
2.01601E+12,2016,10000218,532150,180180,-0.097307,51.505056,1,3,2,1,02-11-2016,4,09:55,8,E09000028,E09000028,3,3200,6,20,3,4,6,0,0,0,1,1,1,0,0,1,1,2,E01003927
2.01601E+12,2016,10000232,512450,175980,-0.382362,51.471567,1,2,2,1,03-11-2016,5,09:00,25,E09000018,E09000018,3,3006,3,30,9,4,6,0,0,0,4,1,1,0,0,1,1,2,E01002660
2.01601E+12,2016,10000233,517910,180300,-0.302344,51.509283,1,2,2,1,03-11-2016,5,08:00,27,E09000009,E09000009,6,0,6,30,2,4,6,0,0,0,1,1,1,0,0,1,1,2,E01001236
2.01601E+12,2016,10000236,527330,185500,-0.164796,51.553973,1,3,1,1,03-11-2016,5,10:25,2,E09000007,E09000007,4,518,2,20,7,4,4,518,0,1,1,1,1,0,0,1,1,2,E01000898
2.01601E+12,2016,10000237,515130,175520,-0.343942,51.466894,1,3,1,1,03-11-2016,5,08:13,25,E09000018,E09000018,5,0,6,30,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,2,E01002659
2.01601E+12,2016,10000238,534420,175270,-0.066487,51.460398,1,3,2,1,03-11-2016,5,08:20,8,E09000028,E09000028,4,238,2,20,3,4,6,0,0,0,1,1,1,0,0,1,1,2,E01004015
2.01601E+12,2016,10000241,525650,180820,-0.190684,51.51229,1,3,2,2,02-11-2016,4,13:26,1,E09000033,E09000033,6,0,6,30,6,3,6,0,0,0,1,1,1,0,0,1,1,2,E01004693
2.01601E+12,2016,10000243,535310,182810,-0.050795,51.527944,1,3,1,1,03-11-2016,5,10:40,5,E09000030,E09000030,4,135,6,30,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,2,E01004259
2.01601E+12,2016,10000245,531650,180170,-0.104511,51.505083,1,3,1,2,02-11-2016,4,18:20,8,E09000028,E09000028,3,201,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,2,E01032583
2.01601E+12,2016,10000247,530620,185830,-0.117246,51.556187,1,3,2,1,03-11-2016,5,10:00,3,E09000019,E09000019,3,1,3,30,6,4,3,503,0,0,1,1,1,0,0,1,1,2,E01002763
2.01601E+12,2016,10000248,530000,178340,-0.128945,51.489019,1,3,2,1,03-11-2016,5,08:15,1,E09000033,E09000033,3,3212,6,30,0,-1,-1,-1,0,4,1,1,1,0,0,1,1,2,E01004745
2.01601E+12,2016,10000251,529090,178990,-0.141808,51.495069,1,2,2,1,03-11-2016,5,12:05,1,E09000033,E09000033,3,202,2,30,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,2,E01004750
2.01601E+12,2016,10000253,531890,179840,-0.101178,51.502062,1,3,1,1,03-11-2016,5,12:05,8,E09000028,E09000028,5,0,6,20,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,2,E01032583
2.01601E+12,2016,10000255,531830,186450,-0.09957,51.561477,1,3,2,1,03-11-2016,5,10:57,3,E09000019,E09000019,3,1201,6,20,3,2,4,105,0,0,1,1,1,0,0,1,1,2,E01002747
2.01601E+12,2016,10000258,531920,182160,-0.099879,51.522904,1,2,2,2,03-11-2016,5,10:35,3,E09000019,E09000019,3,5201,6,20,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,2,E01033489
2.01601E+12,2016,10000259,527740,175160,-0.162628,51.460955,1,3,2,1,02-11-2016,4,09:10,10,E09000032,E09000032,3,3,6,30,3,4,6,0,0,5,1,1,1,0,0,1,1,2,E01004552
2.01601E+12,2016,10000262,526080,177780,-0.185576,51.484873,1,3,2,1,03-11-2016,5,08:10,12,E09000020,E09000020,3,3220,2,30,3,4,6,0,0,1,1,1,1,0,0,1,1,2,E01002896
2.01601E+12,2016,10000264,512930,183750,-0.372968,51.541308,1,3,3,1,02-11-2016,4,15:28,27,E09000009,E09000009,3,40,7,50,5,4,6,0,0,0,1,1,1,0,0,1,1,2,E01001323
2.01601E+12,2016,10000265,538630,171590,-0.007365,51.426313,1,3,2,1,03-11-2016,5,10:25,7,E09000023,E09000023,3,21,6,30,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,2,E01003241
2.01601E+12,2016,10000266,517990,177570,-0.302104,51.48473,1,3,2,1,02-11-2016,4,18:26,25,E09000018,E09000018,3,315,6,30,0,-1,-1,-1,0,0,4,1,1,0,0,1,1,2,E01033081
2.01601E+12,2016,10000270,525400,182380,-0.19373,51.526365,1,3,1,1,03-11-2016,5,13:31,1,E09000033,E09000033,5,0,6,30,9,2,5,0,0,4,1,1,1,0,0,1,1,2,E01004676
2.01601E+12,2016,10000272,525130,182040,-0.197741,51.523369,1,3,2,2,02-11-2016,4,20:49,1,E09000033,E09000033,3,404,3,30,6,2,6,0,0,0,4,1,1,0,0,1,1,2,E01004755
2.01601E+12,2016,10000273,519910,184250,-0.272194,51.544363,1,3,2,2,03-11-2016,5,15:13,28,E09000005,E09000005,3,404,3,30,6,2,3,404,0,0,1,1,1,1,0,1,1,2,E01033456
2.01601E+12,2016,10000275,534030,181440,-0.069757,51.515937,1,3,2,1,03-11-2016,5,16:20,5,E09000030,E09000030,3,11,3,20,7,2,4,134,0,0,1,1,1,0,0,1,1,2,E01004325
2.01601E+12,2016,10000278,518370,178680,-0.296261,51.494627,1,3,1,1,03-11-2016,5,16:59,25,E09000018,E09000018,5,0,6,30,0,-1,-1,-1,0,0,6,1,1,0,0,1,1,2,E01002562
2.01601E+12,2016,10000279,530990,180120,-0.114034,51.504787,1,3,2,1,03-11-2016,5,17:16,9,E09000022,E09000022,3,301,1,30,1,4,3,3200,0,0,4,1,1,0,0,1,1,2,E01003016
2.01601E+12,2016,10000281,514430,184760,-0.351019,51.550084,1,3,2,1,02-11-2016,4,18:44,27,E09000009,E09000009,6,0,6,30,0,-1,-1,-1,0,0,4,1,1,0,0,1,1,2,E01001271
2.01601E+12,2016,10000282,525520,184590,-0.191214,51.5462,1,3,2,1,03-11-2016,5,18:30,2,E09000007,E09000007,4,510,6,30,3,4,5,0,0,0,4,1,1,0,0,1,1,2,E01000973
2.01601E+12,2016,10000283,520560,178900,-0.264654,51.496142,1,2,1,1,03-11-2016,5,17:43,27,E09000009,E09000009,4,490,6,30,3,4,4,490,0,0,4,1,1,0,0,1,1,2,E01032572
2.01601E+12,2016,10000284,515180,184600,-0.34026,51.548493,1,3,3,3,03-11-2016,5,17:45,27,E09000009,E09000009,3,4127,6,30,3,2,6,0,0,5,4,1,1,0,0,1,1,2,E01001269
2.01601E+12,2016,10000286,532200,184110,-0.095114,51.540362,1,3,2,1,03-11-2016,5,18:45,3,E09000019,E09000019,3,1200,6,20,6,2,6,0,0,5,4,1,1,0,0,1,1,2,E01002797
2.01601E+12,2016,10000288,529390,175230,-0.138865,51.461209,1,3,2,1,03-11-2016,5,17:10,9,E09000022,E09000022,3,24,3,30,0,-1,-1,-1,0,5,4,1,1,0,0,1,1,2,E01003039
2.01601E+12,2016,10000289,525810,185270,-0.186791,51.552247,1,3,2,1,02-11-2016,4,17:25,2,E09000007,E09000007,3,41,3,30,0,-1,-1,-1,0,0,4,1,1,0,0,1,1,2,E01000969
2.01601E+12,2016,10000290,523840,174760,-0.218878,51.458226,1,3,2,1,03-11-2016,5,20:20,10,E09000032,E09000032,3,219,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,2,E01004500
2.01601E+12,2016,10000293,526730,183290,-0.174241,51.534247,1,2,2,1,03-11-2016,5,17:10,1,E09000033,E09000033,3,41,6,30,6,2,5,0,0,5,4,1,1,0,0,1,1,2,E01004647
2.01601E+12,2016,10000298,533550,185530,-0.07512,51.552806,1,3,2,1,03-11-2016,5,20:01,4,E09000012,E09000012,3,10,6,20,3,4,6,0,0,0,4,1,2,0,0,1,1,2,E01001835
2.01601E+12,2016,10000299,524170,184550,-0.210687,51.546139,1,3,2,1,03-11-2016,5,15:30,28,E09000005,E09000005,5,0,3,20,6,4,6,0,0,0,1,1,2,0,0,1,1,2,E01000495
2.01601E+12,2016,10000303,534420,183560,-0.063331,51.534896,1,2,2,1,03-11-2016,5,20:00,4,E09000012,E09000012,5,0,6,20,3,2,5,0,0,0,4,1,1,0,0,1,1,2,E01001775
2.01601E+12,2016,10000304,522810,179530,-0.232039,51.50132,1,3,2,1,03-11-2016,5,21:16,11,E09000013,E09000013,3,402,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,2,E01001940
2.01601E+12,2016,10000305,515640,170970,-0.338089,51.425895,1,3,2,1,03-11-2016,5,21:00,24,E09000027,E09000027,3,313,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,2,E01003888
2.01601E+12,2016,10000311,531850,175730,-0.103288,51.465135,1,3,3,1,03-11-2016,5,22:27,9,E09000022,E09000022,3,2217,6,20,3,4,6,0,0,0,4,1,1,0,0,1,1,2,E01003051
2.01601E+12,2016,10000320,519330,179050,-0.282314,51.497751,1,3,2,1,04-11-2016,6,00:58,25,E09000018,E09000018,3,406,3,30,3,4,6,0,0,0,4,1,2,0,2,1,1,2,E01002691
2.01601E+12,2016,10000325,537940,183140,-0.012777,51.530273,1,3,2,1,03-11-2016,5,13:25,17,E09000025,E09000025,3,11,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,2,E01033579
2.01601E+12,2016,10000332,529220,177300,-0.140554,51.479851,1,3,2,1,04-11-2016,6,07:05,10,E09000032,E09000032,3,3205,3,30,3,4,6,0,0,0,1,1,1,4,2,1,1,2,E01033132
2.01601E+12,2016,10000333,514420,183310,-0.351635,51.537053,1,3,2,1,04-11-2016,6,09:50,27,E09000009,E09000009,3,40,3,50,5,4,6,0,0,0,1,1,1,0,0,1,1,2,E01001268
2.01601E+12,2016,10000334,526150,175210,-0.185486,51.46176,1,3,1,1,04-11-2016,6,08:13,10,E09000032,E09000032,3,214,1,30,1,2,3,217,0,5,1,1,1,0,0,1,1,2,E01004514
2.01601E+12,2016,10000339,532530,176600,-0.093178,51.472795,1,3,1,4,04-11-2016,6,08:55,8,E09000028,E09000028,3,215,6,30,9,4,6,0,0,4,1,1,1,0,0,1,1,2,E01003922
2.01601E+12,2016,10000340,532070,178830,-0.098964,51.492943,1,3,1,1,04-11-2016,6,07:50,8,E09000028,E09000028,3,215,6,20,3,4,6,0,0,4,1,1,1,0,0,1,1,2,E01032719
2.01601E+12,2016,10000343,516430,177440,-0.324603,51.483885,1,3,3,2,03-11-2016,5,13:27,25,E09000018,E09000018,3,4,3,40,6,2,6,0,0,4,1,1,1,0,0,1,1,2,E01002678
2.01601E+12,2016,10000345,528960,181490,-0.142766,51.517566,1,2,2,1,04-11-2016,6,10:38,1,E09000033,E09000033,3,5204,6,30,6,2,3,4201,0,5,1,1,1,0,0,1,1,2,E01004765
2.01601E+12,2016,10000357,519780,175920,-0.276895,51.469524,1,3,2,1,04-11-2016,6,12:41,24,E09000027,E09000027,3,205,6,30,0,-1,-1,-1,0,0,1,2,2,0,0,1,1,2,E01033571
2.01601E+12,2016,10000362,515480,179960,-0.337455,51.506729,1,3,2,1,04-11-2016,6,11:25,27,E09000009,E09000009,6,0,6,30,3,4,3,3002,0,0,1,2,2,0,0,1,1,2,E01001252
2.01601E+12,2016,10000367,513170,174390,-0.372508,51.457132,1,3,2,1,04-11-2016,6,12:03,25,E09000018,E09000018,3,314,6,30,6,2,6,0,0,0,1,2,2,0,0,1,1,2,E01002652
2.01601E+12,2016,10000368,526950,174890,-0.174091,51.458706,1,3,2,1,04-11-2016,6,12:39,10,E09000032,E09000032,4,234,6,30,9,2,3,3,0,4,1,2,2,0,0,1,1,2,E01004621
2.01601E+12,2016,10000370,530070,180360,-0.127194,51.507156,1,3,2,1,04-11-2016,6,09:40,1,E09000033,E09000033,6,0,2,30,1,2,4,308,0,5,1,1,1,0,0,1,1,2,E01004736
2.01601E+12,2016,10000373,514730,172070,-0.350816,51.435966,1,3,2,1,04-11-2016,6,08:15,24,E09000027,E09000027,4,358,6,30,7,2,3,311,0,5,1,1,1,0,0,1,1,2,E01003900
2.01601E+12,2016,10000374,532420,177800,-0.094312,51.483605,1,3,1,1,04-11-2016,6,11:58,8,E09000028,E09000028,3,215,6,20,3,4,6,0,0,0,1,2,2,0,0,1,1,2,E01003969
2.01601E+12,2016,10000375,532290,183800,-0.093933,51.537555,1,3,1,2,04-11-2016,6,15:00,3,E09000019,E09000019,6,0,6,20,7,4,6,0,0,0,1,2,2,0,0,1,1,2,E01002798
2.01601E+12,2016,10000377,515640,180350,-0.335023,51.510201,1,3,1,1,04-11-2016,6,16:25,27,E09000009,E09000009,5,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,2,E01001252
2.01601E+12,2016,10000380,532600,176740,-0.092119,51.474037,1,3,2,1,04-11-2016,6,16:50,8,E09000028,E09000028,3,202,6,20,3,4,6,0,0,5,4,2,2,0,0,1,1,2,E01003921
2.01601E+12,2016,10000381,531250,185320,-0.108354,51.551458,1,3,2,1,04-11-2016,6,13:40,3,E09000019,E09000019,5,0,6,20,0,-1,-1,-1,0,0,1,2,2,0,0,1,1,2,E01033491
2.01601E+12,2016,10000383,527980,181760,-0.156784,51.520215,1,3,2,1,04-11-2016,6,16:30,1,E09000033,E09000033,4,524,6,30,6,2,3,41,0,5,4,2,2,0,0,1,1,2,E01004712
